,is_on,voltage,current,power,time,cap_ah,cap_wh,temp,set_current,set_voltage,set_timer
0,0.0,3.797,0.0,0.0,00:00:00,0.0,0.0,24.0,0.0,0.0,00:00:00
1,0.0,3.797,0.0,0.0,00:00:00,0.0,0.0,24.0,1.5,0.0,00:00:00
2,0.0,3.797,0.0,0.0,00:00:00,0.0,0.0,24.0,1.5,2.9,00:00:00
5,0.0,3.798,0.0,0.0,00:00:00,0.0,0.0,24.0,1.5,2.9,00:00:00
10,0.0,3.796,0.0,0.0,00:00:00,0.0,0.0,24.0,1.5,2.9,00:00:00
11,0.0,3.795,0.0,0.0,00:00:00,0.0,0.0,24.0,1.5,2.9,00:00:00
21,0.0,3.799,0.0,0.0,00:00:00,0.0,0.0,24.0,1.5,2.9,00:00:00
24,0.0,3.797,0.0,0.0,00:00:00,0.0,0.0,24.0,1.5,2.5,00:00:00
25,0.0,3.798,0.0,0.0,00:00:00,0.0,0.0,24.0,1.5,2.5,00:00:00
29,0.0,3.796,0.0,0.0,00:00:00,0.0,0.0,24.0,1.5,2.5,00:00:00
45,0.0,3.799,0.0,0.0,00:00:00,0.0,0.0,24.0,1.5,2.5,00:00:00
55,0.0,3.798,0.0,0.0,00:00:00,0.0,0.0,24.0,50.0,2.5,00:00:00
56,0.0,3.797,0.0,0.0,00:00:00,0.0,0.0,24.0,50.0,2.5,00:00:00
57,0.0,3.799,0.0,0.0,00:00:00,0.0,0.0,24.0,50.0,2.5,00:00:00
58,0.0,3.8,0.0,0.0,00:00:00,0.0,0.0,24.0,50.0,2.5,00:00:00
63,0.0,3.798,0.0,0.0,00:00:00,0.0,0.0,24.0,5.0,2.5,00:00:00
64,0.0,3.8,0.0,0.0,00:00:00,0.0,0.0,24.0,5.0,2.5,00:00:00
69,0.0,3.799,0.0,0.0,00:00:00,0.0,0.0,24.0,5.0,2.5,00:00:00
76,1.0,3.439,4.486,0.0,00:00:01,0.0,0.0,24.0,5.0,2.5,00:00:00
77,1.0,3.403,4.954,15.427,00:00:02,0.001,0.0,24.0,5.0,2.5,00:00:00
